WIN TYPE	FRAME SIZE	STRETCH	OVERLAP	BETA
sin beta	4096	0,5	1,3	15
sin beta	4096	0,55	1,3	15
sin beta	4096	0,6	1,5	15
sin beta	4096	0,65	1,5	15
sin beta	4096	0,7	1,5	15
sin beta	4096	0,75	1,7	15
sin beta	4096	0,8	1,7	15
sin beta	4096	0,85	1,8	15
sin beta	4096	0,9	1,9	15
sin beta	4096	0,95	2	15
sin beta	4096	1	2	15
sin beta	4096	1,05	2,2	15
sin beta	4096	1,1	2,4	15
sin beta	4096	1,15	2,4	15
sin beta	4096	1,2	2,5	14,5
sin beta	4096	1,25	2,5	14,5
sin beta	4096	1,3	2,6	12
sin beta	4096	1,35	2,65	10
sin beta	4096	1,4	2,8	12,5
sin beta	4096	1,45	3	12,5
sin beta	4096	1,5	3,2	10
sin beta	4096	1,55	3,2	10
sin beta	4096	1,6	3,2	10
sin beta	4096	1,65	3,2	10
sin beta	4096	1,7	3,2	10
sin beta	4096	1,75	3,2	10
sin beta	4096	1,8	3,7	10
sin beta	4096	1,85	3,7	9
sin beta	4096	1,9	3,9	9
sin beta	4096	1,95	3,9	9
sin beta	4096	2	4	9
